nom_pmu,pere,mere,bms
CABRAKAN,IOBARKO,ROSE BLEUE,BUFFET II
MARZIPAN,BIRD PARKER,PRUNE ROUGE,DEFI D'AUNOU
IDENTIFIED,OSEMBE,TRES QUALIFIEE,ARISTO
DIAMOND HAZE,REPEAT LOVE,RAPA,ISMAEL DU PONT
KESSICA JELOCA,CYPRIEN DES BORDES,VESSICA JELOCA,SANCHO PANCA
DOLLY EFFE,MAGO D'AMORE,,
JEWELLE OF JANE,THE BEST MADRIK,ALEXANDRIA,PRINCE GEDE
MONTJEU DES FORGES,CARAT WILLIAMS,DIANA DES FORGES,COKTAIL JET
TALKA,MALBROUGH,KYRA,BERANGER
PONDERADO,CONQUERANT,ELIETTA,ROUPERROUX
ARTAIOS,JIOSCO,EVA LA REINE,JOUR DE VEINE
GOOD GIMMICK,OARDO,VICKY D'YVILLE,CHENU
LUMINEUSE WELL,UN MEC D'HERIPRE,AIDA D'HERIPRE,PRODIGIOUS
NOTHELLO,UZO JOSSELYN,DESDEMONA,RODRIGO JET
EN VECES,PALEO,SAUVE QUI PEUT II,LUTH GRANDCHAMP
BROADWAY BABE,JEAN,PUCE DE LA MARE,ESPOIR DE SEE
PRETTA,JAG DE BELLOUET,JOLIE JACQUELINE,JET DU VIVIER
VINICIA,GANYMEDE,MELODY SQUARE,COKTAIL JET
LA PALESS,DERJACQUES,CALDANGUA,FANDANGO
PARADUX,DIONINO,VABLA,NEUTRON II
NAZARIO,FACE TIME BOURBON,DELICATESSEN,THE BEST MADRIK
EL GATO,PASSWORD,PASSION D'HAUFOR,ISERIO
BERLINALE,COKTAIL JET,HERMINE DU RIB,VIKING'S WAY
PRETAL,GRANDPRE,LITANIE,TOSCAN
GOLDEN GAMBLER,KENOR DE COSSE,OGOOUE LOLO,JENKO
NORIFLAME,DJANGO RIFF,FINE LAME,KAISY DREAM
NINA DU MINON,EXCELLENT,CELIA DU MINON,SO LOVELY GIRL
NAIADE DU LILAS,URLANDO D'OR,FEE DU LILAS,RIEUSSEC
MILOBELLUS,ENINO DU POMMEREUX,BLONDE PLATINE,OLITRO
NOUVELLE BABY,EVER PRIDE,BELLEGRINA,SAXO DE VANDEL
KISS ME POLE,TEXAS CHARM,TYRANNIE JEEP,NOT DISTURB
KOLOR,OH JAMES,SANS PEUR,HAND DU VIVIER
ITIEPY,TOSCAN,PALOISE,CARIOCA II
CASH MAKER (ITY),DONATO HANOVER (US),SINEAD PRAD,LOVE YOU
SOSWEETY,BACCARAT DU PONT,LETTRE CAPITALE,TENOR DE BAUNE
TABULARASA,ILLICO PRESTO,GIGA DE MAI,BIESOLO
AINT MISBEHAVING,READY CASH,RADYSIN AMERICA,DONATO HANOVER
NELSON MELODY,SAXO DE VANDEL,ESCAMPETTE,HAND DU VIVIER
NIRVANA DE VANDEL,BIRD PARKER,VIGA DE VANDEL,QUIDO DU GOUTIER
NELSON DE BANVILLE,UP AND QUICK,ESCALE OCEANE,LOOK DE STAR
MOYA SPORT,UZO JOSSELYN,GUADALAJARA SPORT,QUINCY BOY
MADONA DE VILLABON,HOOKER BERRY,BIMBO DE VILLABON,LOOK DE STAR
LUCKY CARNOIS,CAPTAIN SPARROW,EUPHORIA CARNOIS,SAM BOURBON
AZIMUTS,HETRE VERT,SEREINE,JAGUAR DU CORTA
KALINE DE LA COUR,VIGOVE,TITE MELINE,KID SPEED
HORS LIMITES,UNICLOVE,IVANA D'ARC,BUVETIER D'AUNOU
LOVELY MILL,MEMPHIS DU RIB,DISCOVERY CHARM,ROCKLYN
CELENTA,MARK SPEED,QUARINA BELLA,ITOU JIM
AMORA QUEEN,BELLOUET,JODNESSE,AMIRAL WILLIAMS
LADY GREY,ERIDAN,SAVANE GRIFF,TENOR DE BAUNE
DREAMASAR,BLUE DREAM,QUITE A GIRL,IN LOVE WITH YOU
LOPEO,QUERONVILLE L B,ARIEGE,JUNIOR MINISTER
GOLDEN MUSE,JOACHIM,OLYMPIADE DE BOUCE,VAE VICTIS II
SHUSHI,GANYMEDE,ETOILE DE BELLOU,HIGH ECHELON
GHAIYYA,REAL DU MARAIS,SEPHATA,FANACQUES
SOMETHING,VIVALDI DE CHENU,NOTHING MORE,SEBRAZAC
MARINER,,,
UNION ISLAND,,,
CALLER,LUDO DE CASTELLE,RANIA DU LYS,KAISY DREAM
SOLIWAY,DAHIR DE PRELONG,EPHELIDE,MONTSURVENT
VINTAGE VINO,KALIN DU VENT,KELLY DU BOUQUET,BUVETIER D'AUNOU
POIEMA,JAG DE BELLOUET,JHARIA DU HAM,EVER JET
UNFAITHFUL ROSE,MALABAR CIRCLE AS,,
CARAMBASO,,,
ATINA,FRANKLIN,ROSE DE MEHEUDIN,FRUIT ROSE
CARBONARA,DIDALIUM,NONA CHERIE,SON IDYLLE P
UN PENAL,KENAVO,OH VEINARDE,DON PATRICE
VERSALLES,LADAKH JIEL,OCTAVIA JIEL,VIEUX SAM
MAXIMUS DU VICLAU,CANARI MATCH,CADIX DU RELAIS,NUMBER MAJYC
LINEA DE CRENNES,JAM PRIDEM,TRACE DE CRENNES,ESPEYRAC SUN
NINNY DE GOUYE,LAETENTER DIEM,FAVORITA TURGOT,ORLANDO VICI
MISTERLOVE DE BAIS,FELICIANO,TOPAZE DE GOURNAY,KEPLER
NIMOISE DE NIMES,DIABLE DE VAUVERT,ADRIANA DE NIMES,CHEF DU CHATELET
NAXXAR,IMPRESSIONIST,FARA DES MURAILLES,AKIM DU CAP VERT
LITTLE CANY,NI HO PED D'OMBREE,CANNIE DU MARNY,REPEAT LOVE
NOUVEL EMPEREUR,HEAVEN'S PRIDE,EXCEPTION,TIMOKO
NEW STORM,QUAKER JET,TERRIFIC STORM,NOT DISTURB
NATURE ET BEAUTE,ESPOIR PRESTANCE,ERMINE D'EBANE,QUAKER JET
RESOLUTION,CHAMBON P,HARPONA,FEU FOLLET X
LUPIN MELOC,VILLAGE MYSTIC,BANQUIERE,QUOPECK
JAVELOT VERDERIE,SATCHMO WOOD,CLEO VERDERIE,QUICKY OA
NEW YORK YANKEES,ALTO DE VIETTE,BETTY SOMOLLI,MILLENIUM WOOD
LYRE DU GOUTIER,UN MEC D'HERIPRE,AGAPE GWEN,AND ARIFANT
MYRTO DU MINON,NI HO PED D'OMBREE,CELIA DU MINON,SO LOVELY GIRL
MUSE,CHARLY DU NOYER,VIE A DEUX,GOETMALS WOOD
MYSTIC LYL,VILLAGE MYSTIC,NEBRITE MARCEAUX,ESOTICO STAR
MOODY LOVE,ESPOIR PRESTANCE,BE MY LIFE,QUATRE JUILLET
METALLICA PIYA,CHARLY DU NOYER,CATHARINA PIYA,NICE LOVE
MELCHIOR DE L'ITON,ROC MESLOIS,BARAKA DE L'ITON,KAISER SOZE
MUST WINNER,FONDON,TOURAILLES,ABNER
MOJITO DANOVER,LAND DANOVER,CAROLINE DE FIRFOL,NAHAR DE BEVAL
NECTAR DE L'ITON,HOHNECK,DIVINE DE L'ITON,PANACHE DE L'ITON
NEW TALK SHOW,HOHNECK,GIRLS TALK,BRILLANTISSIME
NABAB DE JAFA,FAKIR DU LORAULT,FEERIE DE MARS,KESACO PHEDO
NIL CATZ,ALDO DES CHAMPS,URIA DES GOSSETS,CANADA
NORTH WIND,IMPRESSIONIST,TESSA DU VIVIER,GANYMEDE
NASH GRIFF,GALIUS,HANYA GRIFF,SAM BOURBON
DARYZ,DERONY,IRATY,NARIOCA
NOW OR NEVER ZEN,ESPOIR PRESTANCE,FUSA MERITE,SAM BOURBON
JACKPOT DES MONTS,CAPTAIN SPARROW,THISIE DYV,CEZIO JOSSELYN
GREEN ANGEL,GOGO,REBECCA DE FLOBAS,HERMES DU BUISSON
AVENTURE,LISZT,OQUETTE,EURYBIADE
JUNE TAKE,BIRD PARKER,CAMPO ROSSA,COKTAIL JET
STRAUSS,JUMPY,NUEVA CHARMEUSE,DANGO
GIOVANNI,,,
SANCAK,MON BELLOUET,JUVA FORTUNA,UNO ATOUT
ALMANDA,QUALMIO DE VANDEL,OLYMPE HERINIERE,BACCARAT DU PONT
BRAKEMAN,,,
NABANO,DOUX PECHE,HANEBANE,UN JOUR VIENDRA
DIVIA,PERMADOUR GEDE,DVINA M,QUASIPYL
FAIRY GREY,CLUSAZ,PERY DES ESSARTS,FERRANTE M
ARFAN,AND ARIFANT,,
VARON,VIVALDI DE CHENU,NOUVELLE TEMPETE,DAHIR DE PRELONG
MASCANI,EXIT MONEY,BALADE LUDOISE,VIVALDI DE CHENU
REINE DES ROSES,DENICHEUR,JOLIE ROSE V,ATUS II
ALONIA,NEXT KINNEY,OCTACANNIERE,BON CONSEIL
LOUCAS,GOLDEN BRIDGE,UNIVERSAL PEARL,NOT DISTURB
SEGURO,AXIUS,GALEA MABON,PRINCE DES VEYS
NARRATRICE,SAXO DE VANDEL,DANSEUSE MYSTIQUE,ROCKFELLER CENTER
NEMO DES ARRIS,HOOKER BERRY,VANIKOVA,GANYMEDE
MIA DE MALIKEN,ROLLING D'HERIPRE,DUNE DE MALIKEN,REVEL D'ANAMA
IDEAL DE LA COUDRE,SAXO DE VANDEL,UDINE DE LA COUDRE,FORTUNA FANT
LOVE ME SAUTREUIL,QUAKER JET,ULLA DE SAUTREUIL,EKIR DE LEAU
NO LIMIT PEJI,ROYAL DREAM,GRETA PEJI,OPUS VIERVIL
KARAMEL DIDO,ATLAS DE JOUDES,EPIGRAMME,REACH DE VANDEL
JACKPOT ATOUT,BOLD EAGLE,LA LAGUNE,COKTAIL JET
JACKPOT DE L'ENVOL,PASSWORD,CHISTERA DE L'ITON,MAGNIFICENT RODNEY
LITTLE WINGS,GOLDEN BRIDGE,DIFA GIRL,LOVE YOU
LENNON DU VIVIER,SAXO DE VANDEL,ALBA DU VIVIER,HAND DU VIVIER
NOOR DE JOUDES,BRILLANTISSIME,ARIA DE JOUDES,COKTAIL JET
MERCEDES DU LOISIR,COUP DROIT,UVANA,CLASSIC RODNEY
NOUVEAU PRODIGE,SINGALO,GARRIGUE,QUAKER JET
MAJOR DE CHOC,DJANGO RIFF,DIZZY TWIN,JASMIN DE FLORE
I ASK,DAOULAS,SUITE DE MARCHERE,JIQUIER
NARDECH DE HOUELLE,HOOKER BERRY,ESCAPE DE HOUELLE,SCIPION DU GOUTIER
UNIQUE CAUSE,KALAHARI,HIRONDELLE D'AMI,AMI D'UN SOIR
OMINI,DOMINO DU BUT,QUISMAIRE,HAPPILY
MISSING AVE,UNICLOVE,CAMILLA DE CARSI,ICO KIKI
KALIFICADO,CALIFE DES NOUES,ARCOLE,KEPI VERT
ORB ONE,NEUTRON DU CEBE,TOUCH OF BLACK,INDY DE VIVE
MISTIC LOVE,LOVE YOU,COMING UP CASH,X
LUNA FEVER,BLUE TRACK,ABEILLE VESQUERIE,NOUKOPULCO
BIG BAR,NERIC BARBES,MISS BARBES,MITSOUKO
MISS KIRI,EXPRESS ROAD,POPOCHKA,FIRSTLY
DINAMICO,NAVARRO SUN,MARIA DU LOMBART,BIESOLO
DE LOCOS,KAISER SOZE,MANON DE BREVILLE,ECLAIR DE VANDEL
PASKAL,GABOR STAR,GALINETTA,TANGO BARBES
MASAMUNE,RAMUS II,HASE DU DER,QUIBUS V
MANHATTAN STRIP,THE BEST MADRIK,OXFORD STREET,DEFI D'AUNOU
SAVORSKI,KAZIRE DE GUEZ,HARIANA,VIVIER DE MONTFORT
LOOKS,BOLD EAGLE,TEMPETE D'AUNOU,BUVETIER D'AUNOU
CHANTEL,QUITO DE COURONNE,QUOUCA,ELPENOR
EMOTION FRONT,MON CEPAGE,ORGERE LA DOUCE,HIGH ECHELON
AVISADO,IOBARKO,JACINTHE D'OR,ROBERT P
FIND ME,ROCKLYN,ISLAND FLOWER,CYGNUS D'ODYSSEE
MAXIMO KEY,TORNADO BELLO,URBAN QUEEN,COKTAIL JET
LITTLE TRICK,UN D'ESTRICAT,DJERBA,KEPI VERT
MASTER BET,GANYMEDE,ENCOMBEVINEUSE,WORKAHOLIC (US)
BOUVARD,JUSSIEU,RENONCULE,LUTH GRANDCHAMP
ONSITE,HULK DES CHAMPS,JULIE DE LIMERAY,EVER JET
HATTILA,GAZOUILLIS,TANERKA,ORLANDO VICI
FANTASY RIM,READY CASH,,
JOSTFAN,CRISTAL MONEY,CAPELLA,GOETMALS WOOD
LANA ZAIN,VITTEL DE BREVOL,BLOODY BEETROOTS,ROMBALDI
NOCTALI NAY,EARL SIMON,CARLA NAY,VIVALDI DE CHENU
NINA DE BASSIERE,CARAT WILLIAMS,SCOLIE DE BASSIERE,BACCARAT DU PONT
NEWNESS,LOVE YOU,INDEPENDANTE,DJANGO RIFF
NIGHT FEVER STRYCK,FIGHTER SMART,THEBEE DU GOUTIER,ONYX DU GOUTIER
NUANCE DES LOYAUX,EARL SIMON,CALINE DES LOYAUX,VIVALDI DE CHENU
NICE STAR ORADEL,GOETMALS WOOD,BELLISSIMA DE LOU,SAXO DE VANDEL
NAZCA SIMARDIERE,DJANGO RIFF,CARA SIMARDIERE,GANYMEDE
NESPRESSO MIJO,DJANGO RIFF,USITA LOVE,GOETMALS WOOD
NEVERGIVEUP ORADEL,GU D'HERIPRE,HERMIONE ORADEL,QUARO
NEW YORKER,GOETMALS WOOD,,
NEVER GIVE UP US,HELGAFELL,IPHIGENIA,READY CASH
MUSE DE LA COUDRE,BOLD EAGLE,UDINE DE LA COUDRE,FORTUNA FANT
JAMSHIR,LOVE YOU,MANZIR,LUTIN D'ISIGNY
MONTSERRAT BLUE,DAVIDSON DU PONT,UMA BLUE,NICE LOVE
KRACANTE A JOJO,ESPOIR WIC,BRISE DE FRECA,QUIDO DU GOUTIER
NHYDRAVION,DOBERMAN,AKARLINA,OYONNAX
JAPONICA,REAL DE LOU,TAMANTHA,LUTIN MALIN
KOA CHEF,SEDUISANT FOUTEAU,OKA DE CALENDES,GROS GRAIN
MAYA DE LA NOE,FEELING CASH,TOPAZE DE LA NOE,GOETMALS WOOD
NAUSICAA DEUGE,ERIDAN,GIGNIA LA RAVELLE,PRINCE GEDE
NIKITA DHELPA,QUARO,FUSEE DHELPA,OPUS VIERVIL
KALHETA DU FETZ,ALBERIC,BALTEA DU FETZ,DIAMANT GEDE
MARSUPILAMI,HULK DES CHAMPS,GELSOMINA LA BORIE,USHIRO GWEN
MISS YOU PIYA,CASH AND GO,GIVE ME AMERICA,UP AND QUICK
MADISON SQUARE,BUVETIER D'AUNOU,DONA SOL DU CADRAN,SANCHO PANCA
MONDIAL HAUFOR,REAL DE LOU,TOPAZE D'HAUFOR,LOVE YOU
MAESTRO LUCERNAIS,FAKIR DU LORAULT,REINE LUCERNAISE,JAG DE BELLOUET
MYRTILLE DES PRES,DRAGON DES RACQUES,SOURCE DU PRIEUR,LUDO DE CASTELLE
LOYALE DAIRPET,EYE OF THE STORM,FINE FORCE DAIRPET,BLUE DREAM
LOVE ME PACA,EL VILLAGIO,VENUS DU LOIR,ORLANDO VICI
MY LADY DE PLOMB,BON COPAIN,FLORIDA DE PLOMB,PAGALOR
MADE IN MARCEAUX,ORLANDO VICI,DIVA DES MARCEAUX,READY CASH
MAXELLITA,LOOK DE STAR,FEE DE PASSY,BIESOLO
MOON SAINT ANDRE,VERY LOOK,ELISA D'OCCAGNES,TITAN D'OCCAGNES
MALOUINE,UNO DU MELEUC,DUCHESSE IDEF,HASTING
MOUSSETTE,EROS DU CHENE,TIERCE D'ATOUT,KAISY DREAM
GABSTONE,TAG WOOD,QUIDYLE DES ANGLES,KITKO
SCALETTA,DERBY DU GITE,BICHETTE DE L'ABLE,PERMADOUR GEDE
MISS DU PERCHE,OFFSHORE DREAM,VANILLE DU PERCHE,VIVALDI DE CHENU
BIRDY SUN,SAM BOURBON,NANA LULU,KIMBERLAND
GOKU,UNGAROU DE FLORE,LUNE DE PAQUES,SUPER MALE
LEHAHIAH,ECU PIERJI,CALIE DE LAUBOIS,NIKY
UN POCO MAS,IN LOVE WITH YOU,OH MY DARLING,AND ARIFANT
L'AUTRE,LYS DE BESLON,QUALIFIABLE,ASDA
MATIMIX,HELLO JO,GALIA SUN,GRIL
MOND LADY,UZO JOSSELYN,KEVA DE LAYE,OPUS DEI
WEFT,LUTH GRANDCHAMP,LOTUS,QUIROGA II
BEETHOVEN,NABAB D'ISIGNY,ETOILE DU GERS,LAPIN AGILE
MISTER CLARCK,GATSBY PERRINE,DEVISE ROYALE,INSERT GEDE
URBAN COTAI,COKTAIL JET,ELITE DE PITZ,OYTILITY
EX ANIMO,OLITRO,NUIT NOIRE,COKTAIL JET
HAVANDI,AXE DES SARTS,SAVANE DU BOUFFEY,ISTRAEKI
SINILEO,EJAKVAL,JACQUELLE,QUERIDO II
NUNCIA D'IROISE,FELICIANO,HERA D'IROISE,ORLANDO VICI
LADOGA,DESIR CASTELETS,ADENARA,QUALMIO DE VANDEL
LEROY DE JOUDES,ROYAL DREAM,FIONA DE JOUDES,READY CASH
LESOTHO YAMM,DIABLO DU NOYER,ESTIVE DADU,INSERT GEDE
SAN MARCO,FIER IRIS,HERNANDA,QUERIDO II
DYNAMITE SENSATION,ORLANDO VICI,,
LOUSTIC DE CHENU,DAVIDSON DU PONT,FASHION DE CHENU,GOETMALS WOOD
YEXIAN,REX DU CHESNAY,TIANE DU PIN,JACKY POPRUNE
NICCA BREED,FELICIANO,GALAXIE PIERJI,TIMOKO
OLYMPIC FILLY,ASTOR DE ROZOY,QUALFA D'ECAJEUL,CEZIO JOSSELYN
LIKE YOU,ROYAL DREAM,DISCOVERY,READY CASH
LA MINA,CHEF DU CHATELET,FABALYNE,FLORESTAN
LIMA SUR,BON VIVANT,,
FEROX,GENERAL NOVEMBER,TINA BELLA,MIRAGE D'UDON
MANOLE,EVOLO,ALANERA,CHABICHOU
SHAKIRA DE ORO,LULO JOSSELYN,GIRL DES MARNES,BON CONSEIL
MAGDALENA SOY,DREAMER DELO,AURORE DU HOULBET,OURAGAN DE CELLAND
LALIK,BOOSTER WINNER,SEA DU VIVIER,JEANBAT DU VIVIER
KIPLING IRON,ORLANDO VICI,THESE DE VAUVERT,GINGER SOMOLLI
NUMENOR'S FELLA,IDEAL LIGNERIES,ILONA'S FELLA,BOLD EAGLE
SIGHISH,ELEAZAR,LUDMILLA,DAROLD II
ARAYA,EXTREME AUNOU,HELICE DE GREZ,TUDOR DE BUFTIZON
MATADOR DE BELFOND,PARIS HAUFOR,EXOSTANIA DAVO,HAND DU VIVIER
NETFLIX DU LOISIR,SCIPION DU GOUTIER,INEDITE D'HERMES,LOVE YOU
SHIRI,TATIUS,TINA DU PADOUENG,FEU FOLLET X
NATURALIA ERA,TIMOKO,DIANA DU PONT,ROC MESLOIS
NOISETTE BRAVOURE,IMPRESSIONIST,SINGGA DES RACQUES,DEFI D'AUNOU
NOEMIE RIDGEHEAD,EARL SIMON,ELODIE RIDGEHEAD,LOOK DE STAR
NILSON DU CLOS,DISCOURS JOYEUX,VEGANE DU CLOS,FLASH DE COSSE
NINJA DES CAUX,COBRA BLEU,CRIKETTE DES CAUX,PALEO DU FRUITIER
NAMIGO DE NOYELLES,COUP DE POKER,A LA BONNE HEURE,ORLANDO VICI
NASH TURGOT,UN MEC D'HERIPRE,EMERAUDE TURGOT,LOOK DE STAR
NASHAAB,LOVE YOU,VIVA DE LUNA,PRODIGIOUS
KAZAAL,FABULOUS WOOD,VIVA DE LUNA,PRODIGIOUS
NECTAR DU CHATELET,UCCELLO B,GITANA DU CHATELET,USUFRUIT III
NAPOLEON DU CAUX,VERY NICE MARCEAUX,DRYADE DU CAUX,TRESKOOL DU CAUX
HELEN DES OUBEAUX,TAG WOOD,RISEE DES CORVEES,IN LOVE WITH YOU
NALTO DE FOSSAVIE,ALTO DE VIETTE,ELLA DE FOSSAVIE,LUDO DE CASTELLE
NARCO DU CHEVREL,ECU PIERJI,BUGATTI DU CHEVREL,JAG DE BELLOUET
BLAKE,PRINCE ATOUT,NEVA DES LIGNERIES,BELLOUET
RITE ON LINE E,,,
LE LABO,DERJACQUES,ENLACEE,PALLY DE SASSY II
LOVELY HURLING,EXTREME DREAM,BYE BYE DARLING,RAINBOW RUNNER
ENERGUMENE,BLUE DREAM,UNE FIGURE,JASMIN DE FLORE
NECKER GRIFF,QUAKER JET,ALTESSE GRIFF,BUVETIER D'AUNOU
DIAMANTE DE ORO,NEUTRON DU CEBE,SINCERE D'HERIPRE,INSERT GEDE
NEW LOVE BLUE,GET HAPPY,HENRIETTE BLUE,REMEMBER JIHEM
NOBLIA,SAXO DE VANDEL,QUITIDA,L'AS DE VIRETAUTE
MISS DE COQUERIE,BIRD PARKER,BIANCA DE COQUERIE,AND ARIFANT
MINOS DU FOSSE,ECHO,ACARCENTE DU FOSSE,BELLOUET
NIKY D'AMOUR,AS DORE,ISLAS BALEARES,GOETMALS WOOD
NEW GIRL DU CHENE,DJANGO RIFF,DAME DU CHENE,COKTAIL JET
MARIE D'AIMTE,DUCATO BOURBON,SOUVERAINE D'AIMTE,CHEF DU CHATELET
LAGUNA,DOGAN,TA FOLIE,KANO
LADIVINA,FELICIANO,DARLING PASSION,SAXO DE VANDEL
ROMEO,JOE L'AMOROSO,FAIR LADY,MAJOR DE BRION
SANLAK,MON BELLOUET,JUVA FORTUNA,UNO ATOUT
MISTER GALBE,FRIPON ROSE,DIRIANE,QUINATO
NOUVELLE HISTOIRE,BOOSTER WINNER,AGATHA,GANYMEDE
JAVA RAJA,RUBIS ROYAL,VIVIANA B,LUTH GRANDCHAMP
KHANDELA,PERMISSIONNAIRE,ETOILE DES POSTES,QUARTZ
BLUESPUR,BRILLANTISSIME,,
ISTANBUL,NIKY,LOCTUDY,EXTREME DREAM
LEHEN,EYLAU SQUARE,REGINE MABON,FANACQUES
DERBYCAT,SCIPION DU GOUTIER,OCEANE D'ATOUT,COKTAIL JET
NINO MOUROTAIS,OURAGAN DE CELLAND,DARLINE MOUROTAISE,KOOL DU CAUX
NAVY PEARL,ETONNANT,PEARL QUEEN,CARPE DIEM
NADAL DU GAZON,ROLLING D'HERIPRE,USHUAIA DU VIVIER,FLASH DE COSSE
NEVER LOOSE,EXCELLENT,CLEONE DU GITE,MAGNIFICENT RODNEY
NIMBA LEAGABIN,ROC MESLOIS,ETERNELLE LEAGABIN,RIEUSSEC
IVORY GREEN,URA,QUASI REINE IV,ATUS II
BLUE EDITION,LOVE YOU,,
JIMBO DES ILES,OPIUM,SOURCE DES ILES,IF
DREAM ON MICK,NUAGE DE LAIT,PAPIRENNE EXPRESS,VIVALDI DE CHENU
LE FRIMEUR,DOM PALAIS,ODILE IV,ALFONZE
PADRON,QUADROPHENIO,BEA DE LA NOEMIE,QUITO DE TALONAY
FLYING VERO,,,
KIRSI ZET,REDEO JOSSELYN,ANGELICA SEVEN,ORLANDO VICI
MAXIMUS VICI,FREE MAN,ENDORPHINE,GANYMEDE
PACE MARKE,EMIL SUEDE,BELLEVUE DE CORLAY,PAN DE LA VAUDERE
HOT BLAZE,VARIK D'ILCINO,QUICHE DE FAVAR,ISSIGEAC MABON
OLIVEIRA,MARIO,QUI LO SA,HERMES D
MALARKEY,TWIST B II,ANTIBES II,FLOCON II
PEACEFUL DAY,,,
MARYLEBONE,BOSS DU BUISSON,BELLE D'ENGLADE,NOUKOPULCO
ARIANNE,KURSINO,ROMY DE CERISAY,JANDA DU CADRAN
HARD CORE,QUEL AMOUR DUDEL,TOSCA D'URZY,QUADROPHENIO
ABUNDANCE,JIGWEN,JACINTHE D'URGA,UNO ATOUT
LANGLI,QUARO,FANNY SI,OH JAMES
TABDONE,JEAN TENDRE,MADONITE,UNO
SATISFICTION,KITKO,FANTINETTE,SEBRAZAC
NICE RUN,FACE TIME BOURBON,BARBOTINE,PRODIGIOUS
CARADJA,,,
ANNABELLE,PRODIGIOUS,ITHACA DE VILZY,CEZIO JOSSELYN
NAGOIA,SO LOVELY GIRL,CHESS QUEEN,OBRILLANT
PEARL KAYZ,REAL DE LOU,NEVE DI BIANCA,ALLISON HOLLOW
MYSPIRIT,ERIDAN,FIRST DANCE,TIMOKO
MELLBY NEMO,GOING KRONOS,,
NAMA MAHA,BOOSTER WINNER,EMMY JOLIE,SAM BOURBON
KISSES,ROYAL DREAM,RENCONTRE DIVINE,ELVIS DE ROSSIGNOL
MYSTERE TURGOT,URIEL SPEED,EMERAUDE TURGOT,LOOK DE STAR
DARNETAL,PAYSAN DU SORTAIS,VALERINE,HYMOUR
ULTRASPI,NELSON DE VANDEL,NOUMEA LADY,GOETMALS WOOD
ZOOK,,,
NOUVEL ESPOIR,AXIUS,CAMINA,JAMIN
TROTINETTE,JACQUES DES BLAVES,DANAE DU QUERCY,HERMES D
LANSKY,HARD LIVIN,,
LITTLE CHOEUR,AND ARIFANT,GUETARIA,GRANIT (H.N.)
INGENUITY,BEC D'ARGENT,QUEEN IV,ETTLINGEN
NANJAYA,ALAIN D,FEE DU PAS,QUINCY
LA SAGRA,FABULOUS WOOD,FANTASTIC DARLING,ROCKLYN
RAFFLES JET,CYGNUS D'ODYSSEE,LIGHT DES ACRES,AND ARIFANT
KAPFADAS,DAHLIA DU RIB,FALAISIENNE DU RIB,PARIS HAUFOR
MADISON ROQUE,TIMOKO,UARGANE MONTAVAL,FIRST DE RETZ
PRINCESS DINO,COROT,QUEEN DE PITZ,FORBIN
BABAAS,MON BELLOUET,NOCE,AND ARIFANT
MAYETTE,DIAMANT DE MAI,DAME DE TRUN,LUCKY WILLIAMS
FOMALHAUT,TRANITIDO,ANTARES,KAPRIUS
NEUF DE PAQUES,SANCHO PANCA,SCILLE BLANCHE,ISTRAEKI
BLUENESS,COROT,MOON DE SAUSSAIE,SPEED CLAYETTOIS
BELIZE,GOSSE DE VRIE,NATURE DE BEL AIR,INCORROMPU
NATIVE,QUIOCO,ODETTE DE BECONS,FOX WILLIAMS
JOYEUSE ROQUE,VEGETARIEN,ANNONEIADE,LAPITO
MEDICIS DU BOCAGE,EYE OF THE STORM,FIGUE DU BOCAGE,SCIPION DU GOUTIER
KEVIN ANABA,NOBODY DU CHENE,DUCHESSE THORIS,UBRIACO
KING DODVILLE,DJANGO RIFF,COMTESSE,OISEAU DE FEUX
KEL CHARME FOU,UN CHARME FOU,CHERIE DE MELLERAY,SCIPION DU GOUTIER
LUTIN JABA,EXCELLENT,DESTINEE JABA,GAZOUILLIS
MAESTRO ECUS,ALTO DE VIETTE,SALSA JET,COKTAIL JET
MANILLE D'ERABLE,CYPRIN D'ERABLE,RUE D'ERABLE,DEFI D'AUNOU
KALISPERA DE TRIOU,COUP DROIT,ELEONORE DE TRIOU,HAND DU VIVIER
MY LADY BLUE,UN MEC D'HERIPRE,EVER BLUE,LOVE YOU
MARBELLA,ERIDAN,GRANDE LIGNEE,BOLD EAGLE
GIURO,UN MEC D'HERIPRE,NOA DU VIVIER,QUITO DE TALONAY
MADISON KAT,GOLDEN BRIDGE,DIANE DE BREVOL,RIEUSSEC
SWEN,ITOU VENT,GAICOLE,NOUVEL ATOUT II
BLOND JAK,NESTORIAC,NEIGE DU BOURG,CRIN NOIR II
CALDERA,PONTAUBAULT,LOVA DU PORT,DZONG
JINXZI,TABRIZ,ARYSTALE,CARIOCA II
ROSE DANCER,KENYA DU PONT,MODERN DANCE,COKTAIL JET
PAIRED,BOUM III,VICTOIRE DE CLESSY,JACOBI
OLD TRACE,BRILLANTISSIME,DAKARA DES VOLCANS,HULK DES CHAMPS
BIG ROG,KAISER SOZE,JENUFA D'ARNOULT,CANARY JAMES
ANDO,PRINCE GEDE,LANDORA BLEUE,BUVETIER D'AUNOU
PERRYLU,FIRST WAY,ALGUE BRUNE,JACKY POPRUNE
TWINKLEE,INDY DE VIVE,HORY DE LA MERITEE,TONNERRE D'AMOUR
WING QUEEN,OMNIFER,ALEZANE QUEEN,MALOUIN
