nom_pmu,pere,mere,bms
KALITY D'ERABLE,ENINO DU POMMEREUX,RUE D'ERABLE,DEFI D'AUNOU
KIM DES RIOULTS,CARAT WILLIAMS,DIVA DES RIOULTS,LILIUM MADRIK
KATINKA DU MOUCHEL,PRODIGIOUS,RIKITA DU MOUCHEL,GANYMEDE
IMPACT DES BAUX,VIVALDO BELLO,OLDA DES BAUX,COKTAIL JET
KELLY PRINCESSE,ROCKFELLER CENTER,PRINCESSE VICTOIRE,COKTAIL JET
ICARE DE LA DORETE,CAHAL DES RIOULTS,BARINA,QUISLING D'ANJOU
IGNACE GUENESERIE,KENOR DE COSSE,BOFORTAISE DE FEU,OSIRIS DE CORBERY
IT'S EAGLE COGLAIS,BOLD EAGLE,STAR DU COGLAIS,GOETMALS WOOD
INSTINCT DE CLERCE,OBRILLANT,AGAIN SEVEN,KESACO PHEDO
ILFUEGO,BRILLANTISSIME,TIBY SLY,COKTAIL JET
INSERT DU BAS BOSQ,ROLLING D'HERIPRE,TURQUOISE DE RY,CARPE DIEM
ITALIANO DI PAO,BRILLANTISSIME,SUITE ROYALE,COKTAIL JET
ICARE DES FORGES,ORLANDO VICI,QUELLE GRACIEUSE,L'AS DE VIRETAUTE
KING DE L'OUEST,BOOSTER WINNER,UNE MISS TROTTER,GOETMALS WOOD
IALKO JENILAT,NI HO PED D'OMBREE,COTKA JENILAT,OCEANO NOX
KINGPIN,FACE TIME BOURBON,CABADES,QUARO
KURLING ATOUT,FOLLOW YOU,LA LAGUNE,COKTAIL JET
KOSTELLO DE LOU,REAL DE LOU,DORADA DE LOU,SAM BOURBON
INCOGNITO DE LOU,UN AMOUR D'HAUFOR,SIERRA DE LOU,BIESOLO
KOUROU LATIN,VANISHING POINT,COMETE LATINE,JAIN DE BEVAL
KER DE TOUES,FEELING CASH,BALTIQUE D'OR,SAM BOURBON
KILLERMAN,SCIPION DU GOUTIER,SURICATE,LUDO DE CASTELLE
KRIS KROSS,BOOSTER WINNER,CINQUIEME AVENUE,JASMIN DE FLORE
KILLER DE BEAULIEU,PICSOU DE VILLABON,EVA D'ARCY,REVE DE BEYLEV
KING FLY,BRILLANTISSIME,AMANDINE FLY,ROCKLYN
KENTUCKY SCARLET,ORLANDO VICI,QUICK SCARLET,GANYMEDE
KIBRILLE MONTAVAL,EARL SIMON,CABRILLE MONTAVAL,LAETENTER DIEM
KAVAL BOURBON,FACE TIME BOURBON,URGENTISSIME,COKTAIL JET
KAIROS QUICK,VIGOVE,UMOURA QUICK,BIESOLO
JINGLE LOVER,COUP DE POKER,CHILIENNE,KAISY DREAM
JACK SURPRISE,PRODIGIOUS,UNE BELLE SURPRISE,PRINCE D'ESPACE
JOJO LAPIN,TAG WOOD,ERNESTINE,LOOK DE STAR
JO LIGNERIES,CELEBRISSIME,DOURAGANE,LOVE YOU
JAGUAR DE GODREL,UN AMOUR D'HAUFOR,BELLE D'ORLANDO,ORLANDO VICI
JEUNE AMI,BOLD EAGLE,QUELLE COPINE,ACHILLE
JAB KISS,DAHLIA DU RIB,KELLE KISS,BLUE EYES AMERICA
JUPPY UP,BOLD EAGLE,UP LADY,MON BELLOUET
JOCKEY,RODRIGO JET,TERRE DE MAI,JAG DE BELLOUET
JUDICIEUX,SCIPION DU GOUTIER,TROIKA D'ANJOU,JASMIN DE FLORE
JUPITER,GOETMALS WOOD,RUN FOR JET,COKTAIL JET
JEAN MADRIK,UP AND QUICK,COMTESSE FLORE,SAM BOURBON
JACK L'EVENTREUR,OFF GY,DOLAILA,RENOSO
JONAGOLD,BIRD PARKER,BARINA,QUISLING D'ANJOU
JUSTE UN DALY,VIGOVE,CERISE DE BREHAT,CARPE DIEM
HANIELLE CREPIN,NI HO PED D'OMBREE,SARAH CREPIN,INSERT GEDE
HAWAI RIVER,TEXAS CHARM,VIVA SAINT PAUL,PRODIGIOUS
FASCINANT,TEXAS CHARM,QUATEVANA,GOETMALS WOOD
