race_id,hippodrome,nb_partants,sans_cote,sans_sf,sans_driver_forme,sans_biais_hippo,sans_ecart_corde,valides_pour_place,date_verif
07082026_6_5,CAGNES/MER,12,0,0,0,0,0,12,2026-08-07T18:45:41.288073+00:00
07082026_1_7,CABOURG,13,0,4,0,0,4,9,2026-08-07T19:15:44.118121+00:00
07082026_6_6,CAGNES/MER,15,7,0,0,0,0,8,2026-08-07T19:15:44.118121+00:00
07082026_1_8,CABOURG,12,0,8,0,0,8,4,2026-08-07T19:30:51.518080+00:00
07082026_6_7,CAGNES/MER,8,1,0,1,0,1,6,2026-08-07T19:45:39.819569+00:00
08082026_3_1,ENGHIEN,9,0,0,0,0,0,9,2026-08-08T09:01:09.148478+00:00
08082026_3_2,ENGHIEN,9,0,7,0,0,7,2,2026-08-08T09:32:56.420411+00:00
08082026_3_5,ENGHIEN,9,0,0,1,0,1,8,2026-08-08T11:01:02.928885+00:00
08082026_8_1,AIX LES BAINS,11,7,0,2,0,2,2,2026-08-08T11:24:21.307427+00:00
08082026_3_6,ENGHIEN,9,0,0,0,0,0,9,2026-08-08T11:36:23.394303+00:00
08082026_8_2,AIX LES BAINS,16,5,6,0,0,6,5,2026-08-08T12:01:02.717881+00:00
08082026_3_7,ENGHIEN,12,0,0,2,0,2,10,2026-08-08T12:12:25.015166+00:00
08082026_8_3,AIX LES BAINS,14,4,5,0,0,5,5,2026-08-08T12:24:22.545016+00:00
08082026_3_8,ENGHIEN,10,0,0,0,0,0,10,2026-08-08T13:00:56.781988+00:00
08082026_8_4,AIX LES BAINS,14,4,3,1,0,4,6,2026-08-08T13:00:56.781988+00:00
08082026_8_5,AIX LES BAINS,13,6,0,0,0,0,7,2026-08-08T13:24:21.027610+00:00
08082026_4_1,ARGENTAN,12,0,0,0,0,0,12,2026-08-08T13:36:19.773701+00:00
08082026_8_6,AIX LES BAINS,13,2,1,0,0,1,10,2026-08-08T14:00:56.356788+00:00
08082026_4_2,ARGENTAN,12,0,0,1,0,1,11,2026-08-08T14:12:21.169663+00:00
08082026_8_7,AIX LES BAINS,15,2,0,4,0,4,9,2026-08-08T14:36:22.775047+00:00
08082026_4_3,ARGENTAN,11,0,0,0,0,0,11,2026-08-08T14:48:29.558709+00:00
08082026_8_8,AIX LES BAINS,14,0,0,0,0,0,14,2026-08-08T15:01:02.521110+00:00
08082026_4_4,ARGENTAN,9,0,0,0,0,0,9,2026-08-08T15:24:28.169352+00:00
08082026_8_9,AIX LES BAINS,11,4,0,3,0,3,4,2026-08-08T15:36:21.658403+00:00
08082026_4_5,ARGENTAN,9,0,0,1,0,1,8,2026-08-08T16:00:56.514422+00:00
08082026_5_2,AVENCHES,13,0,0,3,0,3,7,2026-08-08T16:12:21.172339+00:00
08082026_11_1,LES SABLES D OLONNE,8,6,2,0,0,2,0,2026-08-08T16:12:21.172339+00:00
08082026_4_6,ARGENTAN,11,0,0,0,0,0,11,2026-08-08T16:24:22.418118+00:00
08082026_11_2,LES SABLES D OLONNE,10,2,1,0,0,1,7,2026-08-08T16:46:01.493998+00:00
08082026_4_7,ARGENTAN,7,0,1,0,0,1,6,2026-08-08T17:01:00.432134+00:00
08082026_10_1,GRAIGNES,15,11,0,0,0,0,4,2026-08-08T17:01:00.432134+00:00
08082026_5_4,AVENCHES,8,0,0,3,0,3,3,2026-08-08T17:12:28.456310+00:00
08082026_11_3,LES SABLES D OLONNE,15,5,0,1,0,1,9,2026-08-08T17:12:28.456310+00:00
08082026_4_8,ARGENTAN,12,0,0,1,0,1,11,2026-08-08T17:24:24.409682+00:00
08082026_10_2,GRAIGNES,11,7,0,0,0,0,4,2026-08-08T17:24:24.409682+00:00
08082026_11_4,LES SABLES D OLONNE,13,3,3,0,0,3,7,2026-08-08T17:48:21.233541+00:00
08082026_6_7,MEADOWLANDS (USA),10,0,5,4,0,9,0,2026-08-08T18:01:02.028440+00:00
08082026_10_3,GRAIGNES,10,4,4,0,0,4,2,2026-08-08T18:01:02.028440+00:00
08082026_5_6,AVENCHES,7,7,0,0,0,0,0,2026-08-08T18:12:21.526083+00:00
08082026_11_5,LES SABLES D OLONNE,12,2,0,0,0,0,10,2026-08-08T18:12:21.526083+00:00
08082026_10_4,GRAIGNES,8,4,0,0,0,0,4,2026-08-08T18:20:32.675865+00:00
08082026_6_8,MEADOWLANDS (USA),8,0,2,5,0,7,0,2026-08-08T18:24:26.111288+00:00
08082026_11_6,LES SABLES D OLONNE,12,4,7,0,0,7,1,2026-08-08T18:48:28.421666+00:00
08082026_6_9,MEADOWLANDS (USA),10,0,10,0,0,10,0,2026-08-08T19:00:56.168412+00:00
08082026_9_6,VILLEREAL,13,0,0,0,0,0,13,2026-08-08T19:00:56.168412+00:00
08082026_10_5,GRAIGNES,13,5,0,1,0,1,7,2026-08-08T19:00:56.168412+00:00
08082026_11_7,LES SABLES D OLONNE,11,1,8,0,0,8,2,2026-08-08T19:24:26.594513+00:00
08082026_6_10,MEADOWLANDS (USA),11,0,11,0,0,11,0,2026-08-08T19:36:23.002333+00:00
08082026_10_6,GRAIGNES,7,2,0,0,0,0,5,2026-08-08T19:36:23.002333+00:00
08082026_11_8,LES SABLES D OLONNE,15,4,0,0,0,0,11,2026-08-08T19:48:27.674322+00:00
08082026_10_7,GRAIGNES,11,3,0,0,0,0,8,2026-08-08T20:00:57.234136+00:00
08082026_6_11,MEADOWLANDS (USA),10,0,10,0,0,10,0,2026-08-08T20:12:36.130516+00:00
